Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
4600                     6.5332087693611784       603062272                483.30712890625          583.8658447265625        4099                     458.42901611328125       575.4324951171875        21371                    8.615005493164062        -0.022462811321020126    0.13056336343288422      1.0010895729064941       1.0532219675951637e-05   -0.6272729635238647      2.9476981163024902       0.40048253536224365      0.13357014954090118      0.32436519861221313      0.20365552604198456      0.33357593417167664      0.4347836673259735       1.0                      
4700                     6.672421306636599        616169472                483.9642639160156        583.977783203125         4097                     458.02386474609375       574.5031127929688        21400                    7.820950031280518        -0.02156350575387478     0.14238587021827698      1.0007545948028564       1.3418635717243887e-05   -0.5832682847976685      2.8188278675079346       0.39984044432640076      0.13680799305438995      0.3266116976737976       0.21169407665729523      0.33357593417167664      0.4347836673259735       1.0                      
4800                     6.811906858682632        629276672                481.6042175292969        582.9580688476562        4101                     459.3080749511719        572.1121215820312        21487                    8.248456954956055        -0.023290738463401794    0.1325027495622635       1.0008152723312378       8.525307748641353e-06    -0.6057554483413696      2.886451005935669        0.4038292467594147       0.1332385390996933       0.31948113441467285      0.19439545273780823      0.33357593417167664      0.4347836673259735       1.0                      
4900                     6.951808813545439        642383872                487.2735900878906        588.138916015625         4096                     459.1014709472656        574.0313110351562        21405                    8.058494567871094        -0.022667085751891136    0.14838562905788422      1.0002357959747314       6.22775178271695e-06     -0.6053808927536011      2.8563425540924072       0.4057806134223938       0.1347472220659256       0.31981760263442993      0.21933680772781372      0.33357593417167664      0.4347836673259735       1.0                      
5000                     7.091673241588804        655491072                488.07098388671875       588.1221923828125        4099                     463.7601623535156        577.8741455078125        21269                    7.665503978729248        -0.020912228152155876    0.13165283203125         1.0005627870559692       7.271731192304287e-06    -0.5459142923355103      2.7829666137695312       0.40417540073394775      0.13612131774425507      0.3201944828033447       0.19234168529510498      0.33357593417167664      0.4347836673259735       1.0                      
5100                     7.231400761206944        668598272                487.38812255859375       587.1942138671875        4098                     464.470947265625         578.7467041015625        21245                    8.223236083984375        -0.020642664283514023    0.13746491074562073      1.0002959966659546       1.0023104550782591e-05   -0.5895593762397766      2.884746551513672        0.406262069940567        0.13716083765029907      0.32254570722579956      0.23176001012325287      0.33357593417167664      0.4347836673259735       1.0                      
5200                     7.370951846506861        681705472                485.75982666015625       584.681640625            4099                     465.66046142578125       577.703125               21274                    9.072667121887207        -0.023852398619055748    0.12868499755859375      1.0009100437164307       1.1429099686210975e-05   -0.5868068933486938      3.025466203689575        0.4092174768447876       0.13388261198997498      0.3150705099105835       0.19747084379196167      0.33357593417167664      0.4347836673259735       1.0                      
5300                     7.509565590686268        694812672                489.29815673828125       586.2691650390625        4098                     464.7574462890625        576.9550170898438        21301                    8.472283363342285        -0.022147787734866142    0.13440094888210297      1.0009958744049072       1.2477990821935236e-05   -0.5806866884231567      2.9070546627044678       0.4076470136642456       0.1370881199836731       0.32062530517578125      0.22336752712726593      0.33357593417167664      0.4347836673259735       1.0                      
5400                     7.648137832747565        707919872                489.4063720703125        588.0433959960938        4097                     463.6095886230469        576.3465576171875        21333                    8.118465423583984        -0.021832386031746864    0.12167816609144211      1.0005279779434204       9.6141529866145e-06      -0.6520516872406006      2.863119125366211        0.40601029992103577      0.1376759260892868       0.3216952681541443       0.21341700851917267      0.33357593417167664      0.4347836673259735       1.0                      
5500                     7.785999363925722        721027072                495.08819580078125       589.9634399414062        4098                     469.5912780761719        580.2203979492188        21190                    7.911830902099609        -0.02123653143644333     0.12225189059972763      1.0006811618804932       9.739625056681689e-06    -0.639232337474823       2.8271524906158447       0.40150853991508484      0.13999056816101074      0.3271191716194153       0.22067727148532867      0.33357593417167664      0.4347836673259735       1.0                      
